job_title,skills
Data Analyst,"python,sql,excel,data visualization,statistics,power bi,tableau"
Data Analyst,"sql,data cleaning,excel,power bi,data analysis"
Data Analyst,"python,sql,data wrangling,data storytelling,advanced excel"
Machine Learning Engineer,"python,machine learning,pandas,numpy,scikit-learn,model deployment"
Machine Learning Engineer,"python,deep learning,keras,tensorflow,model evaluation"
Machine Learning Engineer,"data preprocessing,feature selection,ml algorithms,huggingface"
Cloud Engineer,"aws,ec2,s3,docker,linux,cloud deployment,shell scripting"
Cloud Engineer,"cloudwatch,iam,rds,terraform,linux administration"
Cloud Engineer,"azure,virtual machines,cloud security,ansible"
Frontend Developer,"html,css,javascript,react,bootstrap,web design"
Frontend Developer,"react,redux,typescript,tailwind,web accessibility"
Frontend Developer,"vue.js,javascript,figma,html5"
Digital Marketing Specialist,"seo,google analytics,content writing,ad campaigns,email marketing"
Digital Marketing Specialist,"meta ads,semrush,google ads,marketing strategy"
Digital Marketing Specialist,"youtube seo,content calendar,brand communication"
Data Engineer,"sql,etl,spark,pyspark,hadoop,data pipelines"
Data Engineer,"aws glue,redshift,airflow,apache kafka"
